artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
AURORA,All My Demons Greeting Me As A Friend (Deluxe),Runaway,1v1oIWf2Xgh54kIWuKsDf6,0.422,0.302,11,-9.214,0.0372,0.629,7.83e-05,0.104,0.123,114.089,248827,4,Calm,"{'title': 'AURORA – Runaway Lyrics', 'lyrics': ""[Intro]\n(Ah-ah, ah-ah, ah-ah, ah-ah)\n\n[Verse 1]\nI was listenin' to the ocean\nI saw a face in the sand\nBut when I picked it up\nThen it vanished away from my hands, dah\nI had a dream I was seven\nClimbin' my way in a tree\nI saw a piece of heaven\nWaitin' in patience for me, dah\n\n[Pre-Chorus]\nAnd I was runnin' far away\nWould I run off the world someday?\nNobody knows, nobody knows\nAnd I was dancing in the rain\nI felt alive and I can't complain\n\n[Chorus]\nBut no, take me home\nTake me home where I belong\nI can't take it anymore\n\n[Verse 2]\nI was painting a picture\nThe picture was a painting of you\nAnd for a moment I thought you were here\nBut then again, it wasn't true, dah\nAnd all this time I have been lyin'\nOh, lyin' in secret to myself\nI've been putting sorrow on the farthest place on my shelf\nLa-di-da\n\n[Pre-Chorus]\nAnd I was runnin' far away\nWould I run off the world someday?\nNobody knows, nobody knows\nAnd I was dancing in the rain\nI felt alive and I can't complain\n\n[Chorus]\nBut no, take me home\nTake me home where I belong\nI got no other place to go\nNo, take me home\nTake me home where I belong\nI got no other place to go\nNo, take me home\nTake me home where I belong\nI can't take it anymore\n\n[Bridge]\nBut I kept runnin' for a soft place to fall\nAnd I kept runnin' for a soft place to fall\nAnd I kept runnin' for a soft place to fall\nAnd I kept runnin' for a soft place to fall\n\n[Pre-Chorus]\nAnd I was runnin' far away\nWould I run off the world someday?\n\n[Chorus]\nBut no, take me home\nTake me home where I belong\nI got no other place to go\nNo, take me home\nTake me home where I belong\nI got no other place to go\n\n[Outro]\nNo, take me home, home where I belong, no, no\nNo, take me home, home where I belong, oh, oh, oh\nNo, take me home, home where I belong, no, no\nNo, take me home, home where I belong\nI can't take it anymore""}"
Ruth B.,Safe Haven,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,0.0259,0.0157,0.0,0.0864,0.454,116.959,233720,3,Calm,"{'title': 'Ruth B. – Dandelions Lyrics', 'lyrics': ""[Verse 1]\nMaybe it's the way you say my name\nMaybe it's the way you play your game\nBut it's so good, I've never known anybody like you\nBut it's so good, I've never dreamed of nobody like you\n\n[Pre-Chorus]\nAnd I've heard of a love that comes once in a lifetime\nAnd I'm pretty sure that you are that love of mine\n\n[Chorus]\n'Cause I'm in a field of dandelions\nWishing on every one that you'd be mine, mine\nAnd I see forever in your eyes\nI feel okay when I see you smile, smile\n\n[Post-Chorus]\nWishing on dandelions all of the time\nPraying to God that one day you'll be mine\nWishing on dandelions all of the time, all of the time\n\n[Verse 2]\nI think that you are the one for me\nCause it gets so hard to breathe\nWhen you're looking at me\nI've never felt so alive and free\nWhen you're looking at me\nI've never felt so happy\n\n[Pre-Chorus]\nAnd I've heard of a love that comes once in a lifetime\nAnd I'm pretty sure that you are that love of mine\n\n[Chorus]\nCause I'm in a field of dandelions\nWishing on every one that you'd be mine, mine\nAnd I see forever in your eyes\nI feel okay when I see you smile, smile\n\n[Post-Chorus]\nWishing on dandelions all of the time\nPraying to God that one day you'll be mine\nWishing on dandelions all of the time, all of the time\n\n[Bridge]\nDandelion into the wind you go\nWon't you let my darling know?\nDandelion into the wind you go\nWon't you let my darling know that\n\n[Chorus]\nI'm in a field of dandelions\nWishing on every one that you'd be mine, mine\nAnd I see forever in your eyes\nI feel okay when I see you smile, smile\n\n[Post-Chorus]\nWishing on dandelions all of the time\nPraying to God that one day you'll be mine\nWishing on dandelions all of the time, all of the time\n\n[Outro]\nI'm in a field of dandelions\nWishing on every one that you'd be mine, mine""}"
Christina Perri,A Thousand Years,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,3,Calm,"{'title': 'Christina Perri – A Thousand Years Lyrics', 'lyrics': ""[Verse 1]\nHeart beats fast\nColors and promises\nHow to be brave?\nHow can I love when I'm afraid to fall?\nBut watching you stand alone\nAll of my doubt suddenly goes away somehow\n\n[Pre-Chorus]\nOne step closer\n\n[Chorus]\nI have died every day waiting for you\nDarling, don't be afraid\nI have loved you for a thousand years\nI'll love you for a thousand more\n\n[Verse 2]\nTime stands still\nBeauty in all she is\nI will be brave\nI will not let anything\nTake away\nWhat's standing in front of me\nEvery breath\nEvery hour has come to this\n[Pre-Chorus]\nOne step closer\n\n[Chorus]\nI have died every day waiting for you\nDarling, don't be afraid\nI have loved you for a thousand years\nI'll love you for a thousand more\n\n[Bridge]\nAnd all along I believed I would find you\nTime has brought your heart to me\nI have loved you for a thousand years\nI'll love you for a thousand more\n\n[Pre-Chorus]\nOne step closer\nOne step closer\n\n[Chorus]\nI have died every day waiting for you\nDarling, don't be afraid\nI have loved you for a thousand years\nI'll love you for a thousand more\n\n[Outro]\nAnd all along I believed I would find you\nTime has brought your heart to me\nI have loved you for a thousand years\nI'll love you for a thousand more""}"
Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,Calm,"{'title': 'Billie Eilish & Khalid – \u200blovely Lyrics', 'lyrics': ""[Verse 1: Billie Eilish & Khalid]\nThought I found a way\nThought I found a way out (Found)\nBut you never go away (Never go away)\nSo I guess I gotta stay now\n\n[Pre-Chorus: Billie Eilish & Khalid]\nOh, I hope some day I'll make it out of here\nEven if it takes all night or a hundred years\nNeed a place to hide, but I can't find one near\nWanna feel alive, outside I can't fight my fear\n\n[Chorus: Billie Eilish with Khalid]\nIsn't it lovely, all alone?\nHeart made of glass, my mind of stone\nTear me to pieces, skin to bone\nHello, welcome home\n\n[Verse 2: Khalid with Billie Eilish]\nWalking out of time\nLooking for a better place (Looking for a better place)\nSomething's on my mind\nAlways in my head space\n\n[Pre-Chorus: Billie Eilish & Khalid]\nBut I know someday I'll make it out of here\nEven if it takes all night or a hundred years\nNeed a place to hide, but I can't find one near\nWanna feel alive, outside I can't fight my fear\n[Chorus: Billie Eilish with Khalid]\nIsn't it lovely, all alone?\nHeart made of glass, my mind of stone\nTear me to pieces, skin to bone\nHello, welcome home\n\n[Outro: Khalid, Billie Eilish, Khalid & Billie Eilish]\nWoah, yeah\nYeah, ah\nWoah, woah\nHello, welcome home""}"
Alec Benjamin,Narrated For You,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0.0318,0.74,0.0,0.124,0.483,150.073,169354,4,Calm,"{'title': 'Alec Benjamin – Let Me Down Slowly Lyrics', 'lyrics': ""[Verse 1]\nThis night is cold in the kingdom\nI can feel you fade away\nFrom the kitchen to the bathroom sink and\nYour steps keep me awake\n\n[Pre-Chorus]\nDon't cut me down, throw me out, leave me here to waste\nI once was a man with dignity and grace\nNow I'm slipping through the cracks of your cold embrace\nSo please, please\n\n[Chorus]\nCould you find a way to let me down slowly?\nA little sympathy, I hope you can show me\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\nLet me down, down\nLet me down, down\nLet me down, let me down\nDown, let me down, down\nLet me down\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\n\n[Verse 2]\nCold skin, drag my feet on the tile\nAs I'm walking down the corridor\nAnd I know we haven't talked in a while\nSo I'm looking for an open door\n[Pre-Chorus]\nDon't cut me down, throw me out, leave me here to waste\nI once was a man with dignity and grace\nNow I'm slipping through the cracks of your cold embrace\nSo please, please\n\n[Chorus]\nCould you find a way to let me down slowly?\nA little sympathy, I hope you can show me\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\nLet me down, down\nLet me down, down\nLet me down, let me down\nDown, let me down, down\nLet me down\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\n\n[Bridge]\nAnd I can't stop myself from falling down\nAnd I can't stop myself from falling down\nAnd I can't stop myself from falling down\nAnd I can't stop myself from falling down\n\n[Chorus]\nCould you find a way to let me down slowly?\nA little sympathy, I hope you can show me\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\nLet me down, down\nLet me down, down\nLet me down, let me down\nDown, let me down, down\nLet me down\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly""}"
Alec Benjamin,Let Me Down Slowly (feat. Alessia Cara),Let Me Down Slowly (feat. Alessia Cara),1roCmBlcpV7LzsmB7pmCyt,0.655,0.569,1,-5.018,0.0349,0.716,7.4e-06,0.135,0.44,150.267,169175,4,Calm,"{'title': 'Alec Benjamin – Let Me Down Slowly (Remix) Lyrics', 'lyrics': ""[Verse 1: Alec Benjamin]\nThis night is cold in the kingdom\nI can feel you fade away\nFrom the kitchen to the bathroom sink and\nYour steps keep me awake\n\n[Pre-Chorus: Alec Benjamin]\nDon't cut me down, throw me out, leave me here to waste\nI once was a man with dignity and grace\nNow I'm slipping through the cracks of your cold embrace\nSo please, please\n\n[Chorus: Alec Benjamin]\nCould you find a way to let me down slowly?\nA little sympathy, I hope you can show me\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby, let me down slowly\nLet me down, down, let me down, down, let me down\nLet me down, down, let me down, down, let me down\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\n\n[Verse 2: Alessia Cara]\nI hold on to little pieces of what we were\nI know we're long gone, but take it easy\nBecause it hurts\n[Pre-Chorus: Alessia Cara]\nDon't cut me down, throw me out, leave me here to waste\nI once was a girl with dignity and grace\nNow I'm slipping through the cracks of your cold embrace\nSo please, please\n\n[Chorus: Alessia Cara]\nCould you find a way to let me down slowly?\nA little sympathy, I hope you can show me\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby, let me down slowly\nLet me down, down, let me down, down, let me down\nLet me down, down, let me down, down, let me down\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\n\n[Bridge: Alec Benjamin & Alessia Cara]\nAnd I can't stop myself from falling down\nAnd I can't stop myself from falling down\nAnd I can't stop myself from falling down\nAnd I can't stop myself from falling down\n\n[Chorus: Alec Benjamin & Alessia Cara, Alec Benjamin]\nCould you find a way to let me down slowly?\nA little sympathy, I hope you can show me\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby, let me down slowly\nLet me down, down, let me down, down, let me down\nLet me down, down, let me down, down, let me down\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly\nIf you wanna go, then I'll be so lonely\nIf you're leaving, baby let me down slowly""}"
Sasha Alex Sloan,Older,Older,52iLDrSoRtf9lcgFuLVfqE,0.681,0.292,11,-9.599,0.0483,0.743,0.0,0.0974,0.162,64.002,191002,4,Calm,"{'title': 'Sasha Alex Sloan – Older Lyrics', 'lyrics': ""[Verse 1]\nI used to shut my door while my mother screamed in the kitchen\nI'd turn the music up, get high and try not to listen\nTo every little fight 'cause neither one was right\n\n[Pre-Chorus]\nI swore I'd never be like them\nBut I was just a kid back then\n\n[Chorus]\nThe older I get, the more that I see\nMy parents aren't heroes, they're just like me\nAnd loving is hard, it don't always work\nYou just try your best not to get hurt\nI used to be mad, but now I know\nSometimes it's better to let someone go\nIt just hadn't hit me yet\nThe older I get\n\n[Verse 2]\nI used to wonder why, why they could never be happy\nI used to close my eyes and pray for a whole 'nother family\nWhere everything was fine, one that felt like mine\n\n[Pre-Chorus]\nI swore I'd never be like them\nBut I was just a kid back then\n\n[Chorus]\nThe older I get, the more that I see\nMy parents aren't heroes, they're just like me\nAnd loving is hard, it don't always work\nYou just try your best not to get hurt\nI used to be mad, but now I know\nSometimes it's better to let someone go\nIt just hadn't hit me yet\nThe older I get\n\n[Chorus]\nThe older I get, the more that I see\nMy parents aren't heroes, they're just like me\nAnd loving is hard, it don't always work\nYou just try your best not to get hurt\nI used to be mad, but now I know\nSometimes it's better to let someone go\nIt just hadn't hit me yet\nThe older I get""}"
Ruth B.,Safe Haven,Lost Boy,0zMzyHAeMvwq5CRstru1Fp,0.586,0.128,7,-9.297,0.0496,0.963,0.0,0.0858,0.371,123.498,276067,4,Calm,"{'title': 'Ruth B. – Lost Boy Lyrics', 'lyrics': '[Verse 1]\nThere was a time when I was alone\nNowhere to go and no place to call home\nMy only friend was the man in the Moon\nAnd even sometimes he would go away too\nThen one night, as I closed my eyes\nI saw a shadow flying high\nHe came to me with the sweetest smile\nTold me he wanted to talk for a while\nHe said, ""Peter Pan, that\'s what they call me\nI promise that you\'ll never be lonely""\nAnd ever since that day\n\n[Chorus]\nI am a Lost Boy from Neverland\nUsually hanging out with Peter Pan\nAnd when we\'re bored we play in the woods\nAlways on the run from Captain Hook\n""Run, run Lost Boy,"" they say to me\nAway from all of reality\nNeverland is home to Lost Boys like me\nAnd Lost Boys like me are free\nNeverland is home to Lost Boys like me\nAnd Lost Boys like me are free\n\n[Verse 2]\nHe sprinkled me in pixie dust and told me to believe\nBelieve in him and believe in me\nTogether we will fly away in a cloud of green\nTo your beautiful destiny\nAs we soared above the town that never loved me\nI realized I finally had a family\nSoon enough we reached Neverland\nPeacefully my feet hit the sand\nAnd ever since that day...\n[Chorus]\nI am a Lost Boy from Neverland\nUsually hanging out with Peter Pan\nAnd when we\'re bored we play in the woods\nAlways on the run from Captain Hook\n""Run, run Lost Boy,"" they say to me\nAway from all of reality\nNeverland is home to Lost Boys like me\nAnd Lost Boys like me are free\nNeverland is home to Lost Boys like me\nAnd Lost Boys like me are free\n\n[Bridge]\nPeter Pan, Tinker Bell, Wendy Darling\nEven Captain Hook, you are my perfect storybook\nNeverland, I love you so, you are now my home sweet home\nForever a Lost Boy at last\n\nAnd for always I will say...\n\n[Chorus]\nI am a Lost Boy from Neverland\nUsually hanging out with Peter Pan\nAnd when we\'re bored we play in the Woods\nAlways on the run from Captain Hook\n""Run, run Lost Boy,"" they say to me\nAway from all of reality\nNeverland is home to Lost Boys like me\nAnd Lost Boys like me are free\nNeverland is home to Lost Boys like me\nAnd Lost Boys like me are free'}"
James Arthur,Back from the Edge,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,211467,4,Calm,"{'title': ""James Arthur – Say You Won't Let Go Lyrics"", 'lyrics': ""[Verse 1]\nI met you in the dark\nYou lit me up\nYou made me feel as though\nI was enough\nWe danced the night away\nWe drank too much\nI held your hair back when\nYou were throwing up\n\n[Pre-Chorus]\nThen you smiled over your shoulder\nFor a minute, I was stone cold sober\nI pulled you closer to my chest\nAnd you asked me to stay over\nI said, I already told ya\nI think that you should get some rest\n\n[Chorus 1]\nI knew I loved you then\nBut you'd never know\n'Cause I played it cool\nWhen I was scared of letting go\nI knew I needed you\nBut I never showed\n\nBut I wanna stay with you\nUntil we're grey and old\nJust say you won't let go\nJust say you won't let go\n\n[Verse 2]\nI'll wake you up with some breakfast in bed\nI'll bring you coffee\nWith a kiss on your head\nAnd I'll take the kids to school\nWave them goodbye\nAnd I'll thank my lucky stars for that night\n\n[Pre-Chorus 2]\nWhen you looked over your shoulder\nFor a minute, I forget that I'm older\nI wanna dance with you right now, oh\nAnd you look as beautiful as ever\nAnd I swear that every day you'll get better\nYou make me feel this way somehow\n\n[Chorus 2]\nI'm so in love with you\nAnd I hope you know\nDarling your love is more\nThan worth its weight in gold\nWe've come so far my dear\nLook how we've grown\nAnd I wanna stay with you\nUntil we're grey and old\nJust say you won't let go\nJust say you won't let go\n\n[Bridge]\nI wanna live with you\nEven when we're ghosts\n'Cause you were always there for me\nWhen I needed you most\n\n[Chorus 3]\nI'm gonna love you till\nMy lungs give out\nI promise 'til death we part\nLike in our vows\nSo I wrote this song for you\nNow everybody knows\nThat it's just you and me\nUntil we're grey and old\nJust say you won't let go\nJust say you won't let go\n\n[Outro]\nJust say you won't let go\nOh, just say you won't let go""}"
James Arthur,Back from the Edge,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,0.0489,0.308,0.0,0.0939,0.479,107.969,246880,4,Calm,"{'title': 'James Arthur – Can I Be Him Lyrics', 'lyrics': ""[Verse 1]\nYou walked into the room\nAnd now my heart's been stolen\nYou took me back in time to when I was unbroken\nNow you're all I want\nAnd I knew it from the very first moment\nCause a light came on when I heard that song\nAnd I want you to sing it again\n\n[Chorus]\nI swear that every word you sing\nYou wrote them for me\nLike it was a private show\nBut I know you never saw me\nWhen the lights come on and I'm on my own\nWill you be there to sing it again?\nCould I be the one you talk about in all your stories?\nCan I be him?\n\n[Verse 2]\nI heard there was someone but I know he don't deserve you\nIf you were mine I'd never let anyone hurt you\nI wanna dry those tears, kiss those lips\nIt's all that I've been thinking about\nCause a light came on when I heard that song\nAnd I want you to sing it again\n[Chorus]\nI swear that every word you sing\nYou wrote them for me\nLike it was a private show\nBut I know you never saw me\nWhen the lights come on and I'm on my own\nWill you be there to sing it again?\nCould I be the one you talk about in all your stories?\n\n[Bridge]\nCan I be the one?\nCan I be the one?\nCan I be the one?\nOh, can I, can I be him?\n\n[Refrain]\nWon't you sing it again\nOh, when you sing it again\nCan I be him\nWon't you sing it again\nOh, when you sing it again\nCan I be him?\n\n[Chorus]\nI swear that every word you sang\nYou wrote them for me\nLike it was a private show\nBut I know you never saw me\nWhen the lights come on and I'm on my own\nWill you be there, will you be there\nCan I be the one you talk about in all your stories\nCan I be him\nCan I be him\nCan I be him\nCan I be him""}"
