artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Sufjan Stevens,Mystery of Love,Mystery of Love,5GbVzc6Ex5LYlLJqzRQhuy,0.365,0.273,4,-16.526,0.038,0.94,0.431,0.109,0.238,132.285,248960,5,Calm,"{'title': 'Sufjan Stevens – Mystery of Love Lyrics', 'lyrics': ""[Verse 1]\nOh, to see without my eyes\nThe first time that you kissed me\nBoundless by the time I cried\nI built your walls around me\nWhite noise, what an awful sound\nFumbling by Rogue River\nFeel my feet above the ground\nHand of God, deliver me\n\n[Chorus 1]\nOh, oh woe-oh-woah is me\nThe first time that you touched me\nOh, will wonders ever cease?\nBlessed be the mystery of love\n\n[Verse 2]\nLord, I no longer believe\nDrowned in living waters\nCursed by the love that I received\nFrom my brother's daughter\nLike Hephaestion, who died\nAlexander's lover\nNow my riverbed has dried\nShall I find no other?\n[Chorus 2]\nOh, oh woe-oh-woah is me\nI'm running like a plover\nNow I'm prone to misery\nThe birthmark on your shoulder reminds me\n\n[Verse 3]\nHow much sorrow can I take?\nBlackbird on my shoulder\nAnd what difference does it make\nWhen this love is over?\nShall I sleep within your bed?\nRiver of unhappiness\nHold your hands upon my head\nTill I breathe my last breath\n\n[Chorus 3]\nOh, oh woe-oh-woah is me\nThe last time that you touched me\nOh, will wonders ever cease?\nBlessed be the mystery of love""}"
flora cash,You're Somebody Else,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,0.713,0.452,1,-9.638,0.0295,0.841,0.0038,0.105,0.235,102.963,218883,4,Calm,NaN
Ed Sheeran,x (Wembley Edition),Thinking out Loud,0k4nrrCsMr0Tao5WvQ8Osq,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4,Calm,"{'title': 'Ed Sheeran – Thinking Out Loud Lyrics', 'lyrics': ""[Verse 1]\nWhen your legs don't work like they used to before\nAnd I can't sweep you off of your feet\nWill your mouth still remember the taste of my love?\nWill your eyes still smile from your cheeks?\nAnd darling, I will be loving you till we're seventy\nAnd baby, my heart could still fall as hard at twenty-three\nAnd I'm thinking 'bout how\n\n[Pre-Chorus 1]\nPeople fall in love in mysterious ways\nMaybe just the touch of a hand\nWell me, I fall in love with you every single day\nI just wanna tell you I am\n\n[Chorus]\nSo honey, now, take me into your loving arms\nKiss me under the light of a thousand stars\nPlace your head on my beating heart, I'm thinking out loud\nAnd maybe we found love right where we are\n\n[Verse 2]\nWhen my hair's all but gone and my memory fades\nAnd the crowds don't remember my name\nWhen my hands don't play the strings the same way\nI know you will still love me the same\n'Cause, honey, your soul could never grow old, it's evergreen\nAnd baby, your smile's forever in my mind and memory\nAnd I'm thinking 'bout how\n\n[Pre-Chorus 2]\nPeople fall in love in mysterious ways\nAnd maybe it's all part of a plan\nWell I'll just keep on making the same mistakes\nHoping that you'll understand\n\n[Chorus]\nThat, baby, now, take me into your loving arms\nKiss me under the light of a thousand stars\nPlace your head on my beating heart, I'm thinking out loud\nAnd maybe we found love right where we are\n\n[Chorus]\nSo baby, now, take me into your loving arms\nKiss me under the light of a thousand stars\nOh darling, place your head on my beating heart, I'm thinking out loud\nThat maybe we found love right where we are\nOh baby, we found love right where we are\nAnd we found love right where we are""}"
Ed Sheeran,÷ (Deluxe),Perfect,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3,Calm,"{'title': 'Ed Sheeran – Perfect Lyrics', 'lyrics': ""[Verse 1]\nI found a love for me\nOh darling, just dive right in and follow my lead\nWell, I found a girl, beautiful and sweet\nOh, I never knew you were the someone waiting for me\n'Cause we were just kids when we fell in love\nNot knowing what it was\nI will not give you up this time\nBut darling, just kiss me slow, your heart is all I own\nAnd in your eyes, you're holding mine\n\n[Chorus]\nBaby, I'm dancing in the dark with you between my arms\nBarefoot on the grass, listening to our favourite song\nWhen you said you looked a mess, I whispered underneath my breath\nBut you heard it, darling, you look perfect tonight\n\n[Verse 2]\nWell I found a woman, stronger than anyone I know\nShe shares my dreams, I hope that someday I'll share her home\nI found a love, to carry more than just my secrets\nTo carry love, to carry children of our own\nWe are still kids, but we're so in love\nFighting against all odds\nI know we'll be alright this time\nDarling, just hold my hand\nBe my girl, I'll be your man\nI see my future in your eyes\n[Chorus 2]\nBaby, I'm dancing in the dark, with you between my arms\nBarefoot on the grass, listening to our favorite song\nWhen I saw you in that dress, looking so beautiful\nI don't deserve this, darling, you look perfect tonight\n\n[Instrumental]\n\n[Chorus 3]\nBaby, I'm dancing in the dark, with you between my arms\nBarefoot on the grass, listening to our favorite song\nI have faith in what I see\nNow I know I have met an angel in person\nAnd she looks perfect\nI don't deserve this\nYou look perfect tonight""}"
Motopony,Motopony,Wait for Me,5SHOb5hvMDzmIRfDhwBoq5,0.619,0.577,6,-9.754,0.0342,0.239,0.779,0.122,0.665,159.844,289200,4,Calm,"{'title': 'Motopony – Wait', 'lyrics': '[Verse 1]\nGirl come to me in a dream\nand I don’t even know her name\nA pretty mark upon her breast\nTo signify her from the rest\nHer and I are just the same\nBuilding bridges out of fame\nShe stands upon a dinner plate\nAnd tells me that I’ll have to wait\n\n[Chorus]\nWait for me\nI know it won’t be easy\nWhat a thing to believe in a dream\n\n[Verse 2]\nPerhaps I knew her long ago\nI wrote her poems at 9 years old\nBut then I did become a man\nAnd let her slip right through my hands\nI practiced all my wit and charm\nHad many girls on every arm\nI learned the depths of love and hate\nBut never did learn how to wait\n\n[Chorus]\nWait for you\nYou say it like it’s easy to do\nWhat a thing to believe in a dream\n\n[Verse 3]\nI have you know that all my life\nI have been searching for a wife\nA partner and a confidant\nA girl who wants the things I want\nA girl who doesn’t come along\n‘Cause she’s already where I’m going\nStand upon a broken stage\nI bet you darlin’ please, please wait\n\n[Chorus]\nWait for me\nI know it won’t be easy\nWhat a thing to believe in a dream\nI believe in a dream'}"
James Hersey,Coming Over (filous Remix),Coming Over - filous Remix,0uIDxM4fdk9zHQzbhr5Jgq,0.791,0.493,8,-11.077,0.0459,0.487,0.00517,0.0996,0.309,109.999,198545,4,Calm,"{'title': 'James Hersey – Coming Over (filous Remix) Lyrics', 'lyrics': ""Is it alright if I come round\nIs it too late if I come now\nWould you stay up to figure this out\nSome way\nIf I stay here would you come back\nIf I stay cool would you be mad\nWould you want me if I want you\nThat way\n\nCause all I can think about is coming over, coming over\nAll I can think about is coming over, coming over\nAll I can think about is coming over, coming over, coming over\n\nIs it alright if I come round\nIs it too late if I come now\nWould you stay up to figure this out\nSome way\nIf I stay here would you come back\nIf I stay cool would you be mad\nWould you want me if I want you\nThat way\n\nIsn't it strange that every time\nI look at your name I'm suddenly high\nFor you to feel the same I would do almost anything\nI'd give away this, give away that\nAll of my shoes and all of my hats\nAll I need's you and a bit of music\nCause all I can think about is coming over, coming over\nAll I can think about is coming over, coming over\nAll I can think about is coming over, coming over, coming over""}"
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody Else,4m0q0xQ2BNl9SCAGKyfiGZ,0.618,0.793,0,-5.711,0.0601,0.204,0.0154,0.126,0.459,101.015,347526,4,Calm,NaN
Oceans Ahead,2 good (rework),2 good (rework),5O5Y7fYYqSRLKQwW8MMYyE,0.692,0.449,2,-7.259,0.0345,0.456,0.0,0.376,0.212,107.037,169756,4,Calm,"{'title': 'Los Campesinos! – The Sea Is a Good Place to Think o', 'lyrics': '[Verse 1]\nI grabbed hold of her wrist and my hand closed from tip to tip\nI said, ""You\'ve taken the diet too far, you have got to let it slip""\nBut she\'s not eating again, she\'s not eating again\nShe\'s not eating again, she\'s not eating again\nI ask her to speak French and then I need her to translate\nI get the feeling she makes the meaning more significant\nShe was always far too pretty for me to believe in a single\nWord she said, believe a word she said\n\n[Verse 2]\nAt fourteen, her mother died in a routine operation\nFrom an allergic reaction to a general anaesthetic\nSpent the rest of her teens experimenting with prescriptions\nIn a futile attempt to know more than the doctors\nShe said one day to leave her, sand up to her shoulders\nWaiting for the tide\nTo drag her to the ocean, to another sea\'s shore\nThis thing hurts like hell\nBut what did you expect?\n\n[Chorus]\nAnd all you can hear\nIs the sound of your own heart\nAnd all you can feel\nIs your lungs flood and the blood course\nBut, oh, I can see\nFive-hundred years dead set ahead of me\nFive-hundred behind\nA thousand years in perfect symmetry\n\n[Verse 3]\nBest known left wrist, right finger through all the Southern states\nOn every video games machine, they call her triple-A\nThere were racists on the radio, trying to give up smoking\nThe chat show host, he joked\n""You have to wait for the government program""\nTalk about your politics\nAnd I wonder if you could be one of them\nBut you could never kiss a Tory boy\nWithout wanting to cut off your tongue again\n\n[Verse 4]\nA good place to look to the future\nIs when you are sat at the sea\nWith the salt up to your ankles\nAnd a view of the end of the pier\nYou may look down at your model\'s feet\nAnd wish that you’d just float away\nAnd the weather here is overcast\nAnd the sea is the same shade of grey\nSo the landscape before you\nLooks just like the edge of the world\nBut to the left side and the right side\nEither way is a crazy golf course\nThe sea is a good place\nTo think of, to think about the future\n\n[Chorus]\nAnd all you can hear\nIs the sound of your own heart\nAnd all you can feel\nIs your lungs flood and the blood course\nBut, oh, I can see\nFive-hundred years dead set ahead of me\nFive-hundred behind\nA thousand years in perfect symmetry\nA thousand years, no getting rid of me\nA thousand years in perfect symmetry'}"
Clairo,4EVER,4EVER,5mIOsPuQdXchVY0jB5NO9Q,0.75,0.585,9,-7.576,0.0285,0.049,0.00552,0.155,0.584,102.331,159595,4,Calm,"{'title': 'Clairo – 4EVER Lyrics', 'lyrics': ""[Verse 1]\nSome things just aren't that simple\nYou called me wondering why I changed\nOr why I don't look the same\nWhy I think so differently now\n\n[Chorus]\nIs it ever gonna change? Am I gonna feel this way forever?\nAre you gonna be around for me to count on?\nIs it ever gonna change? Am I gonna feel this way forever?\nAre you gonna be around for me to count on? Count on\nOn-on-on, on-on-on-on-on\nOn-on-on, on-on-on-on-on\nOn-on-on, on-on-on-on-on\nOn-on-on, on-on-on-on-on\n\n[Verse 2]\nSome things just never seem to fade\nI'm thinking about how we were on our first date\nYou understood the words I was saying\nI knew I'd never let you get away\n\n[Bridge]\nHold you tight, squeeze you right, tell you what I want\nPut me in your bedroom and I'll sing a little song\nHold you tight, squeeze you right, give you all I've got\nSee you in the morning, over coffee, we'll talk, oh\n\n[Chorus]\nIs it ever gonna change? Am I gonna feel this way forever?\nAre you gonna be around for me to count on?\nIs it ever gonna change? Am I gonna feel this way forever?\nAre you gonna be around for me to count on? Count on\nOn-on-on, on-on-on-on-on\nOn-on-on, on-on-on-on-on\nOn-on-on, on-on-on-on-on\nOn-on-on, on-on-on-on-on""}"
The National,Trouble Will Find Me,I Need My Girl,7rbCL7W893Zonbfnevku5s,0.523,0.438,0,-11.49,0.0356,0.867,0.0723,0.123,0.106,126.028,245240,4,Calm,"{'title': 'The National – I Need My Girl Lyrics', 'lyrics': '[Chorus]\nI am good, I am grounded\nDavy says that I look taller\nBut I can\'t get my head around it\nI keep feeling smaller and smaller\nI need my girl\nI need my girl\n\n[Verse 1]\nRemember when you lost your shit and\nDrove the car into the garden?\nYou got out and said ""I\'m sorry""\nTo the vines and no one saw it\nI need my girl\nI need my girl\n\n[Pre-Chorus]\nI\'m under the gun again\nI know I was a 45-percenter then\nI know I was a lot of things\n\n[Chorus]\nBut I am good, I am grounded\nDavy says that I look taller\nBut I can\'t get my head around it\nI keep feeling smaller and smaller\nI need my girl\nI need my girl\n\n[Verse 2]\nThere\'s some things that I should never\nLaugh about in front of family\nI tried to call you from the party\nIt\'s full of punks and cannonballers\nI need my girl\nI need my girl\n\n[Pre-Chorus]\nI\'m under the gun again\nI know I was a 45-percenter then\nI know I was a lot of things\n\n[Chorus]\nBut I am good, I am grounded\nDavy says that I look taller\nI can\'t get my head around it\nI keep feeling smaller and smaller\nI keep feeling smaller and smaller\nI keep feeling smaller and smaller'}"
