artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Bill Withers,Discover Bill Withers,Lovely Day,6Pi1WqBTTSjtl6BWHQSccH,0.702,0.658,9,-7.835,0.0332,0.179,0.000636,0.1,0.736,97.851,251467,4,Happy,"{'title': 'Bill Withers – Lovely Day Lyrics', 'lyrics': ""[Verse 1]\nWhen I wake up in the morning, love\nAnd the sunlight hurts my eyes\nAnd something without warning, love\nBears heavy on my mind\n\n[Chorus]\nThen I look at you\nAnd the world's alright with me\nJust one look at you\nAnd I know it's gonna be\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\n\n[Verse 2]\nWhen the day that lies ahead of me\nSeems impossible to face\nWhen someone else instead of me\nAlways seems to know the way\n\n[Chorus]\nThen I look at you\nAnd the world's alright with me\nJust one look at you\nAnd I know it's gonna be\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\n[Verse 3]\nWhen the day that lies ahead of me\nSeems impossible to face\nWhen someone else instead of me\nAlways seems to know the way\n\n[Chorus]\nThen I look at you\nAnd the world's alright with me\nJust one look at you\nAnd I know it's gonna be\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\nA lovely day\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day, lovely day, lovely day)\n(Lovely day, lovely day)""}"
Yola,Walk Through Fire (Deluxe Edition),I Don't Wanna Lie,6CgsttSWDA2sISZQp1upXK,0.562,0.821,5,-5.082,0.0277,0.3,0.0,0.519,0.893,105.512,181535,4,Happy,"{'title': ""Yola – I Don't Wanna Lie Lyrics"", 'lyrics': ""[Chorus]\nI don't wanna lie, I don't wanna lie\nI don't wanna tear you apart\nI don't wanna\u2005lie,\u2005I don't wanna\u2005lie\nI told you right from the\u2005start\n\n[Verse 1]\nSince we got a moment to talk\nWhy don't we just sit right down\nOr we can take a little walk\nAround the town\nYou were always good to me\nMy friends would say you treated me fine\nBut there's something you just can't see\nAnd now it's time\nBut baby\n\n[Chorus]\nI don't wanna lie, I don't wanna lie\nI don't wanna tear you apart\nI don't wanna lie, I don't wanna lie\nI told you right from the start\n\n[Verse 2]\nI don't wanna cause you pain\nEverytime I have to go\nBut the road is always calling my name\nTo another show\nOh, baby\n\n[Chorus]\nI don't wanna lie, I don't wanna lie\nI don't wanna tear you apart\nI don't wanna lie, I don't wanna lie\nI told you right from the start\n\n[Outro]\nOh, eh\nI don't wanna lie to you\nOoh, ooh\nI don't wanna lie to you\nHey, hey, hey, hey, hey\nI don't wanna lie to you\nOoh, ooh, hey, hey\nI don't wanna lie to you, yeah, yeah\nI don't wanna lie to you, woohoo""}"
Jackie Wilson,The Ultimate Jackie Wilson,(Your Love Keeps Lifting Me) Higher & Higher,4TBBPZks71c60whhq0PgdP,0.631,0.69,2,-6.676,0.0531,0.176,0.0,0.121,0.938,94.574,181067,4,Happy,"{'title': 'Jackie Wilson – (Your Love Keeps Lifting Me) Highe', 'lyrics': ""Your love is lifting me higher\n\nYour love, lifted me higher\nThan I've ever, been lifted before\nSo keep it it up\nQuench my desire\nAnd I'll be at your side\nForever more\n\nYou know your love (your love keeps lifting me)\nKeep on lifting (love keeps lifting me)\nHigher (lifting me)\nHigher and higher (higher)\nI said your love (your love keeps lifting me)\nKeep on (love keeps lifting me)\nLifting me (lifting me)\nHigher and higher (higher)\n\nListen\nNow once I was downhearted\nDisappointment was my closest friend\nBut then you came and it soon departed\nAnd you know he never\nShowed his face again\n\nThat's why your love (your love keeps lifting me)\nKeep on lifting me (love keeps lifting me)\nHigher (lifting me)\nHigher and higher (higher)\nI said your love (your love keeps lifting me)\nKeep on (love keeps lifting me)\nLifting me (lifting me)\nHigher and higher (higher)\n\nI'm so glad, I finally found you\nYes, that one in a million girl\nAnd now with my loving arms around you\nHoney, I can stand up\nAnd face the world\n\nLet me tell you, your love (your love keeps lifting me)\nKeep on lifting me (love keeps lifting me)\nHigher (lifting me)\nHigher and higher (higher)\nI said your love (your love keeps lifting me)\nKeep on (love keeps lifting me)\nLifting me (lifting me)\nHigher and higher (higher)\n\nAlright, now sock it to me (lifting, lifting, lifting)\nAlright, lift me up woman (your love keeps lifting me)\nKeep my love going, now (lifting me)\nHigher and higher\nI said keep on lifting (lifting, lifting,lifting)\nLift me up mama (your love keeps lifting me)\nKeep on lifting  (lifting me)\nHigher and higher""}"
