artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Kodaline,In A Perfect World,All I Want,2PwXOevGUSkU8qaYZjgLq2,0.209,0.412,0,-9.733,0.0443,0.172,0.15,0.0843,0.162,86.26,305747,3,Sad,"{'title': 'Kodaline – All I Want Lyrics', 'lyrics': ""[Verse 1]\nAll I want is nothing more\nTo hear you knocking at my door\n'Cause if I could see your face once more\nI could die a happy man, I'm sure\nWhen you said your last goodbye\nI died a little bit inside\nI lay in tears in bed all night\nAlone without you by my side\n\n[Chorus]\nBut if you loved me, why'd you leave me?\nTake my body, take my body\nAll I want is, and all I need is\nTo find somebody, I'll find somebody\nLike you, oh, oh, oh\nLike you, like you\n\n[Verse 2]\nSo you brought out the best in me\nA part of me I'd never seen\nYou took my soul and wiped it clean\nOur love was made for movie screens\n\n[Chorus]\nBut if you loved me, why'd you leave me?\nTake my body, take my body\nAll I want is, and all I need is\nTo find somebody, I'll find somebody\nOh, oh, oh, oh\nOh, oh, oh, oh\nOh, oh, oh, oh, oh, oh\n\n[Chorus]\nIf you loved me, why'd you leave me?\nTake my body, take my body\nAll I want is, and all I need is\nTo find somebody, I'll find somebody\nLike you""}"
flora cash,Nothing Lasts Forever (And It's Fine),You're Somebody Else,1tweNeMlwxfeoOXklVibnf,0.713,0.451,1,-9.64,0.0294,0.844,0.00317,0.105,0.238,102.972,218883,4,Sad,"{'title': ""\u200bflora cash – You're Somebody Else Lyrics"", 'lyrics': ""[Verse 1: Cole Randall]\nI saw the part of you\nThat only when you're older, you will see too\nYou will see too\nI held the better cards\nBut every stroke of luck has gotta bleed through\nIt's gotta bleed through\nYou held the balance of the time\nThat only blindly I could read you\nBut I could read you\nIt's like you told me\nGo forward slowly\nIt's not a race to the end\n\n[Chorus: Cole Randall]\nWell, you look like yourself\nBut you're somebody else\nOnly it ain't on the surface\nWell, you talk like yourself\nNo, I hear someone else though\nNow you're making me nervous\n\n[Verse 2: Cole Randall]\nYou were the better part\nOf every bit of beating heart that I had\nWhatever I had\nI finally sat alone\nPitch black flesh and bone\nCouldn't believe that you were gone\n\n[Chorus: Cole Randall]\nWell, you look like yourself\nBut you're somebody else\nOnly it ain't on the surface\nWell, you talk like yourself\nNo, I hear someone else though\nNow you're making me nervous\n\nWell, you look like yourself\nBut you're somebody else\nOnly it ain't on the surface (Surface)\nWell, you talk like yourself\nNo, I hear someone else though\nNow you're making me nervous (Nervous)\n\n[Bridge: Cole Randall - Distorted voice]\nWhere are we?\nWhere are we?\n\n[Chorus: Cole Randall]\nWell, you look like yourself\nBut you're somebody else\nOnly it ain't on the surface\nWell, you talk like yourself\nNo, I hear someone else though\nNow you're making me nervous\n\nWell, you look like yourself\nBut you're somebody else\nOnly it ain't on the surface\nWell, you talk like yourself\nNo, I hear someone else though\nNow you're making me nervous\n\n[Outro: Cole Randall]\nI saw the part of you\nThat only when you're older, you will see too\nYou will see too""}"
The Cinematic Orchestra,Ma Fleur,To Build A Home,54KFQB6N4pn926IUUYZGzK,0.264,0.122,9,-15.399,0.0349,0.885,0.349,0.094,0.0735,148.658,371320,4,Sad,"{'title': 'The Cinematic Orchestra – To Build a Home Lyrics', 'lyrics': ""[Verse 1]\nThere is a house built out of stone\nWooden floors, walls, and window sills\nTables and chairs worn by all of the dust\nThis is a place where I don't feel alone\nThis is a place where I feel at home\n\n[Chorus]\nAnd I built a home\nFor you, for me\nUntil it disappeared\nFrom me, from you\nAnd now, it's time to leave\nAnd turn to dust\n\n[Verse 2]\nOut in the garden where we planted the seeds\nThere is a tree as old as me\nBranches were sewn by the color of green\nGround had arose and passed its knees\n\n[Verse 3]\nBy the cracks of his skin I climbed to the top\nI climbed the tree to see the world\nWhen the gusts came around to blow me down\nHeld on as tightly as you held onto me\nHeld on as tightly as you held onto me\n\n[Chorus]\nAnd I built a home\nFor you, for me\nUntil it disappeared\nFrom me, from you\nAnd now, it's time to leave\nAnd time to die""}"
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody Else,5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,0,-5.724,0.0585,0.195,0.0142,0.153,0.472,101.045,347520,4,Sad,"{'title': 'The 1975 – Somebody Else Lyrics', 'lyrics': ""[Verse 1]\nSo I heard you found somebody else\nAnd at first, I thought it was a lie\nI took all my things that make sounds\nThe rest I can do without\n\n[Chorus]\nI don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else\nI'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else\nNo, I don't want your body\nBut I'm picturing your body with somebody else (Else, else...)\n\n[Post-Chorus]\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\n\n[Verse 2]\nAnd c'mon baby (I know)\nThis ain't the last time that I'll see your face\nAnd c'mon baby (I know)\nYou said you'd find someone to take my place (Place, place)\n\n[Pre-Chorus]\nI just don't believe that you have got it in you\n'Cause we are just gonna keep “Doin' it” and every time\nI start to believe in anything you're saying\nI'm reminded that I should be gettin' over it\n\n[Chorus]\nI don't want your body\nBut I hate to think about you with somebody else\nOur love has gone cold\nYou're intertwining your soul with somebody else\nI'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else\nNo, I don't want your body\nBut I'm picturing your body with somebody else (Else, else...)\n\n[Post-Chorus]\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\nI don't want your body, I don't want your body\n\n[Bridge]\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\nGet someone you love?\nGet someone you need?\nFuck that, get money\nI can't give you my soul, 'cause we're never alone\n\n[Chorus]\nI don't want your body (I don't want your body)\nBut I hate to think about you with somebody else\n(I don't want your body)\nOur love has gone cold\nYou're intertwining your soul with somebody else\n(I don't want your body)\nI'm looking through you\nWhile you're looking through your phone\nAnd then leaving with somebody else\n(I don't want your body)\nNo, I don't want your body (I don't want your body)\nBut I'm picturing your body with somebody else\n(I don't want your body)""}"
BETWEEN FRIENDS,we just need some time together,affection,2lTtnKQgjbrBA1qnOFhBkP,0.273,0.565,2,-7.283,0.248,0.516,1.68e-06,0.0855,0.298,179.518,235226,4,Sad,"{'title': 'BETWEEN FRIENDS – \u200baffection Lyrics', 'lyrics': ""[Verse 1]\nYou're taking what you want right from me\nWrapped up in so much\nLife is just the way you hold me\nYou pick your miscellaneously\nWrapped up in all the choices you're not giving to me\n\n[Pre-Chorus]\nI'm laying on the floor\nWe're drinking 'cause we're bored\n\n[Chorus]\nOh, I'm looking for affection in all the wrong places\nAnd we'll keep falling on each other to fill the empty spaces\n(One more time)\nOh, I'm looking for affection in all the wrong places\nAnd we'll keep falling on each other to  fill the empty spaces\n\n[Verse 2]\nYou're saying what you want right to me\nNo filter on your mouth, we know you talk in your sleep\nRemembering the times they won't remember me\nOur nights melt into sequels, you sink into me\n\n[Pre-Chorus]\nI'm laying on the floor\nWe're drinking 'cause we're bored\n\n[Chorus]\nOh, I'm looking for affection in all the wrong places\nAnd we'll keep falling on each other to fill the empty spaces\n(One more time)\nOh, I'm looking for affection in all the wrong places\nAnd we'll keep falling on each other to fill the empty spaces\n\n[Bridge]\nJust a little bit of affection, a little bit\nJust a little bit of affection, a little bit\nJust a little bit, just a little bit\nJust a little bit of, oh\n\n[Chorus]\nOh, I'm looking for affection in all the wrong places\nAnd we'll keep falling on each other to fill the empty spaces\n(One more time)\nOh, I'm looking for affection in all the wrong places\nAnd we'll keep falling on each other to fill the empty spaces""}"
Tom Rosenthal,The Pleasant Trees,It's Ok,2Iyfw8YfKruAagJwGc4G07,0.561,0.111,8,-15.11,0.0324,0.871,0.205,0.103,0.0607,148.191,191352,4,Sad,"{'title': 'Tom Rosenthal – Now You Know Lyrics', 'lyrics': ""It's okay, Dad, you can go\nWe're all here and we know\nThat you're traveling soon\nI've sung you all the songs that I can sing\nMostly George Formby with none of the strings\n\nIt's funny where we can end up\nA life in fields\nAnd now you're here\nNot a blade of grass\nYou were born in wild Australia\nHad to go a long way to be who you are\n\nI did this thing towards the end\nWhere I put I put my head right against your head\nAnd I just held it there\nTried to store up every single vein\nFixed in my mind for all tomorrow's days\nFor all tomorrow's days\n\nAnd so to the last night of your stay\nWaited up all night\nAnd watched you sleep\nI've never done that before\nAnd you know what\nIt was the best night of my life\nTo be close to your dreams for the very first time\n\nIt was a gentle afternoon\nI think Tuesday\nAnd there you lay\nYou were trying to die\nWe opened up the window so you could fly\nSoar away into the rest of our lives\nI just hope you made it past the hospital car park\n\nIn the middle of the night\nSome years back\nYou told your wife\nThat you could not sleep\nYou said you were scared to die\nBut you were curious to see the other side\nWell, now you know\nNow you know""}"
Tom Odell,Long Way Down (Deluxe),Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4,Sad,"{'title': 'Tom Odell – Another Love Lyrics', 'lyrics': ""[Verse 1]\nI wanna take you somewhere so you know I care\nBut it's so cold and I don't know where\nI brought you daffodils in a pretty string\nBut they won't flower like they did last spring\nAnd I wanna kiss you, make you feel alright\nI'm just so tired to share my nights\nI wanna cry and I wanna love\nBut all my tears have been used up\n\n[Chorus]\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up, up\n\n[Verse 2]\nAnd if somebody hurts you, I wanna fight\nBut my hands been broken one too many times\nSo I'll use my voice, I'll be so fucking rude\nWords, they always win, but I know I'll lose\nAnd I'd sing a song that'd be just ours\nBut I sang 'em all to another heart\nAnd I wanna cry, I wanna learn to love\nBut all my tears have been used up\n\n[Chorus]\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up, up\n\n[Bridge]\n(Oh, need a love, now, my heart is thinking of)\nI wanna sing a song that'd be just ours\nBut I sang 'em all to another heart\nAnd I wanna cry, I wanna fall in love\nBut all my tears have been used up\n\n[Chorus]\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up\nOn another love, another love\nAll my tears have been used up, up""}"
M83,"Hurry Up, We're Dreaming",Wait,0bM5JsBjWU4RyYlMbp0voY,0.426,0.228,2,-10.552,0.0322,0.203,0.14,0.0832,0.0826,147.986,343253,4,Sad,"{'title': 'M83 – Wait Lyrics', 'lyrics': ""[Verse 1]\nSend your dreams\nWhere nobody hides\nGive your tears\nTo the tide\n\n[Chorus]\nNo time\nNo time\n\n[Verse 2]\nThere's no end\nThere is no goodbye\nDisappear\nWith the night\n\n[Chorus]\nNo time\nNo time\nNo time\nNo time\nNo time""}"
Novo Amor,Bathing Beach,Anchor,7qH9Z4dJEN0l9bidizW7fq,0.457,0.407,9,-11.475,0.0308,0.805,0.884,0.126,0.126,117.053,257533,4,Sad,"{'title': 'Novo Amor – Anchor Lyrics', 'lyrics': ""[Verse 1]\nTook the breath from my open mouth\nNever known how it broke me down\nI went in circles somewhere else\nShook the best when your love was home\nStoring up on your summer glow\nYou went in search of someone else\n\n[Chorus]\nAnd I hear your ship is comin' in\nYour tears a sea for me to swim\nAnd I hear a storm is comin' in\nMy dear, is it all we've ever been?\n\n[Verse 2]\nCaught the air in your woven mouth\nLeave it all, I'll be hearing how you went\nIn search of someone else\nThey taught the hand that taut the bride\nBoth our eyes locked to the tide\nWe went in circles somewhere else\n\n[Chorus]\nAnd I hear your ship is comin' in\nYour tears a sea for me to swim\nAnd I hear a storm is comin' in\nMy dear, is it all we’ve ever been?\n[Outro]\nAnchor up to me, love\nAnchor up to me, love\nAnchor up to me, love\nOh, anchor up to me\nMy love, my love, my love""}"
Coldplay,Parachutes,Sparks,7D0RhFcb3CrfPuTJ0obrod,0.371,0.268,1,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,227093,3,Sad,"{'title': 'Coldplay – Sparks Lyrics', 'lyrics': '[Verse 1]\nDid I drive you away?\nI know what you\'ll say\nYou say, ""Oh, sing one you know""\nBut I promise you this\nI\'ll always look out for you\nYeah, that\'s what I\'ll do\n\n[Chorus]\nI say, oh\nI say, oh\n\n[Verse 2]\nMy heart is yours\nIt\'s you that I hold on to\nYeah, that\'s what I do\nAnd I know I was wrong\nBut I won\'t let you down\nOh yeah I will, yeah I will, yes I will\n\n[Chorus]\nI said, oh\nI cry, oh\n\n[Bridge]\nYeah, I saw sparks\nYeah, I saw sparks\nAnd I saw sparks\nYeah, I saw sparks\nSing it out\n\n[Outro]\nLa-la-la-la, oh\nLa-la-la-la, oh\nLa-la-la-la, oh\nLa-la-la-la, oh'}"
