artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Daughter,If You Leave,Youth,4AmcmraFjVzFb9SQDNTRyl,0.4,0.525,0,-11.294,0.0435,0.887,0.00543,0.117,0.408,146.977,253013,4,Calm,"{'title': 'Daughter – Youth Lyrics', 'lyrics': ""[Verse 1]\nShadows settle on the place that you left\nOur minds are troubled by the emptiness\nDestroy the middle, it's a waste of time\nFrom the perfect start to the finish line\n\n[Chorus 1]\nAnd if you're still breathing, you're the lucky ones\n'Cause most of us are heaving through corrupted lungs\nSetting fire to our insides for fun\nCollecting names of the lovers that went wrong\nThe lovers that went wrong\n\n[Verse 2]\nWe are the reckless, we are the wild youth\nChasing visions of our futures\nOne day, we'll reveal the truth\nThat one will die before he gets there\n\n[Chorus 2]\nAnd if you're still bleeding, you're the lucky ones\n'Cause most of our feelings, they are dead and they are gone\nWe're setting fire to our insides for fun\nCollecting pictures from a flood that wrecked our home\nIt was a flood that wrecked this home\n[Post-Chorus]\nAnd you caused it\nAnd you caused it\nAnd you caused it\n\n[Bridge]\nWell, I've lost it all, I'm just a silhouette\nI'm a lifeless face that you'll soon forget\nAnd my eyes are damp from the words you left\nRinging in my head, when you broke my chest\nRinging in my head, when you broke my chest\n\n[Chorus 3]\nAnd if you're in love, then you are the lucky one\n'Cause most of us are bitter over someone\nSetting fire to our insides for fun\nTo distract our hearts from ever missing them\nBut I'm forever missing him\n\n[Post-Chorus]\nAnd you caused it\nAnd you caused it\nAnd you caused it""}"
Zendaya,Neverland,Neverland,654bpQLFU931tUdT7HHqu0,0.484,0.457,2,-9.087,0.034,0.143,0.0,0.379,0.223,123.941,224760,4,Calm,"{'title': 'Zendaya – Neverland Lyrics', 'lyrics': ""[Verse 1]\nWhenever I was frightened or ever felt alone\nI turned to the night sky at a star I call my own\nSomewhere I could run to, just across the Milky Way\nIf you like, I could take you\nIt's just a lightyear and a day\n\n[Chorus]\nWe can sail away tonight on a sea of pure moonlight\nWe can navigate the stars to bring us back home\nIn a place so far away\nWe'll be young, that's how we'll stay\nEvery wish is our command\nWhen we find ourselves in Never, Neverland\n\n[Verse 2]\nThrough all my make believe, there's some reality\nIn your reflection there's much more than you see, yeah!\nAll that you hope for, you hope for today\nIt's the love someone gives you in an unconditional way\n\n[Chorus]\nWe can sail away tonight on a sea of pure moonlight\nWe can navigate the stars to bring us back home\nIn a place so far away\nWe'll be young, that's how we'll stay\nEvery wish is our command\nWhen we find ourselves in Never, Neverland\n[Bridge]\nPicture a land you'll never have seen\nWhere life is eternal and evergreen\nFuture of happiness all in your hands\nAll in this place I created that I call Neverland\n\n[Chorus 2]\nWe can sail away tonight on a sea of pure moonlight\nWe can navigate the stars to bring us back home\nIn a place so far away\nWe'll be young, that's how we'll stay\nAnd with your hand in my hand\nI am closer now to finding Neverland\nAnd with your hand in my hand\nI am closer now to finding Neverland""}"
James Bay,Chaos And The Calm (Deluxe Edition),Stealing Cars,3aBOGGAjllxDqGRgewnYIu,0.423,0.228,3,-10.947,0.0302,0.845,3.64e-06,0.102,0.352,88.288,223320,4,Calm,"{'title': 'James Bay – Stealing Cars Lyrics', 'lyrics': ""[Verse 1]\nAll we need is a spark\nA second chance, a lifeline\nWaiting out in the dark\nHolding out for a search light\n\n[Chorus]\nNo, I don't know why seasons change\nOr how we fell so far\nBefore our hearts go up in flames\nLet's go throwing stones\nAnd stealing cars\n\n[Verse 2]\nLet the heat of the sun\nReignite your memory\n'Cause if we just turn and run\nLet them fire the gun\n\n[Chorus]\nNo I don't know why seasons change\nOr how we fell so far\nBefore our hearts go up in flames\nLet's go throwing stones\nAnd stealing cars\n\n[Bridge]\nSirens and smoke remind us\nMaybe the world won't find us\nFall to the Earth in red light 'til it's gone\nGone\n\n[Chorus]\nNo I don't know why seasons change\nHow we get back to the start\nBefore our hearts go up in flames\nLet's go throwing stones\nAnd stealing cars\nLet's go throwing stones\nAnd stealing cars\n\n[Outro]\nOh tonight these streets are ours to roam\nOh tonight these streets are ours to roam""}"
Christina Aguilera,Fall In Line (feat. Demi Lovato),Fall In Line (feat. Demi Lovato),25qfFpoGhk9Njgu5nl36sS,0.39,0.631,9,-4.701,0.0769,0.209,0.0,0.277,0.197,123.042,248544,3,Calm,"{'title': 'Christina Aguilera – Fall in Line Lyrics', 'lyrics': ""[Verse 1: Christina Aguilera]\nLittle girls, listen closely\n'Cause no one told me\nBut you deserve to know\nThat in this world, you are not beholden\nYou do not owe them\nYour body and your soul\n\n[Pre-Chorus: Christina Aguilera]\nAll the youth in the world will not save you from growing older\nAnd all the truth in a girl is too precious to be stolen from her\n\n[Chorus: Christina Aguilera & Demi Lovato]\nIt's just the way it is\nAnd maybe it's never gonna change\nBut I got a mind to show my strength\nAnd I got a right to speak my mind\nAnd I'm gonna pay for this\nThey're gonna burn me at the stake\nBut I got a fire in my veins\nI wasn't made to fall in line\nNo, I wasn't made to fall in line, no\n\n[Verse 2: Demi Lovato]\nShow some skin, make him want you\n'Cause God forbid you\nKnow your own way home\nAsk yourself why it matters\nWho it flatters\nYou're more than flesh and bones\n[Pre-Chorus: Demi Lovato]\nAll the youth in the world will not save you from growing older\nAnd all the truth in a girl is too precious to be stolen from her\n\n[Chorus: Christina Aguilera & Demi Lovato]\nIt's just the way it is\nAnd maybe it's never gonna change (no)\nBut I got a mind to show my strength (my strength)\nAnd I got a right to speak my mind (my mind)\nAnd I'm gonna pay for this (pay, pay)\nThey're gonna burn me at the stake (stake)\nBut I got a fire in my veins (veins)\nI wasn't made to fall in line (line)\nNo, no, I wasn't made to fall in line\nNo, we weren't made to fall in line, oh\n\n[Bridge: Distorted Male Voice]\nYea, two, three\nRight — two, three\nShut your mouth\nStick your ass out for me\nMarch — two, three\nTwo, three\nWho told you you're allowed to think?\nYea, two, three\nRight — two, three\nShut your mouth\nStick your ass out for me\nMarch — two, three\nTwo, three\nWho told you you're allowed to think?\n[Chorus: Christina Aguilera & Demi Lovato]\nIt's just the way it is\nAnd maybe it's never gonna change\nBut I got a mind to show my strength (my strength)\nAnd I got a right to speak my mind (my mind)\nAnd I'm gonna pay for this (I'm gonna pay for this)\nThey're gonna burn me at the stake\nBut I got a fire in my veins\n'Cause I wasn't made to fall in line\nBut I got a fire in my veins\nI'm never gonna fall in line, oh\n\n[Outro: Distorted Male Voice]\nYea, two, three\nRight — two, three\nShut your mouth\nStick your ass out for me\nMarch — two, three\nTwo, three\nWho told you you're allowed to think?\n\nYea, two, three\nRight — two, three\nShut your mouth\nStick your ass out for me\nMarch — two, three\nTwo, three\nWho told you you're allowed to think?""}"
Noah Wu,Set Me Free,Set Me Free,751y2Sk2hyrzcztQpVDBgy,0.614,0.663,2,-9.421,0.0262,0.0443,1.81e-05,0.106,0.123,114.065,196387,4,Calm,"{'title': 'Drake – Wu-Tang Forever Lyrics', 'lyrics': '[Intro]\n(Machine gun rap for all my niggas in the back) Uh\n(Machine gun rap for all my niggas in the back) Uh\n(Machine gun rap for all my niggas in the back) Uh\n(Machine gun rap for all my niggas in the back) I\n\n[Chorus]\nI just love when I\'m with you\nYeah, this shit is on ten\nWe used to be friends, girl, and even back then\nYou would look at me with no hesitation and you\'d tell me\nBaby, it\'s yours, nobody else\'s\nYeah, this shit belong to nobody\nIt\'s yours, nobody else\'s\nYeah, this shit belong to nobody and that\nWhat made me think about the game, girl\nAnd how I switched it up with a new thing\nYoung nigga came through on his Wu-Tang\nAnd nowadays when I ask about who got it\nThey say it\'s yours, nobody else\'s\nYeah, this shit belong to nobody\nIt\'s yours, nobody else\'s\nYeah, this shit belong to nobody\nIt\'s yours, it\'s yours, it\'s yours, it\'s yours\nThat\'s for sure, that\'s for sure (Yeah)\nIt\'s yours, it\'s yours, it\'s yours, it\'s yours\nThat\'s for sure, that\'s for sure\n\n[Bridge]\nHow you feel about\nComin\' home with a nigga for the night?\nIf you nervous, hit the lights\nI know we only fuckin\' out of spite \'cause your man don\'t\nDo you right, do you right\nI could fuck you so good, then I hit you with the 9 a.m. in Dallas\nWho you like, baby, who you like?\n\n[Verse]\nMachine gun raps for all my niggas in the back\nStadium packed, just glad to see the city on the map\nI just gave the city life, it ain\'t about who did it first\nIt\'s \'bout who did it right, niggas looking like ""Preach""\nOpen cases on me for a half a million each\nI find peace knowing that it\'s harder in the streets, I know\nLuckily I didn\'t have to grow there\nI would only go there \'cause niggas that I know there\nI don\'t know what\'s getting into me, I just like the rush\nWhen you see your enemy somewhere in the club and you realize\nHe just not in a position to reciprocate your energy\nYou ain\'t ever worried \'cause he\'s not who he pretends to be\nPeople like Mazin who was a best friend to me\nStart to become a distant memory\nThings change in that life, and this life started lacking synergy\nAnd fuckin\' with me mentally, I think it\'s meant to be\nYeah, paranoid, always rolling with my mothafuckin\' boys\nBut you gotta understand when it\'s yours\nThey don\'t really leave your ass with a mothafuckin\' choice, man\n\n[Chorus]\nI, I just love when I\'m with you\nYeah, this shit is on ten\nWe used to be friends, girl, and even back then\nYou would look at me with no hesitation and you\'d tell me, baby\nIt\'s yours, nobody else\'s\nYeah, this shit belong to nobody\nIt\'s yours, nobody else\'s\nYeah, this shit belong to nobody and that\nWhat made me think about the game, girl\nAnd how I switched it up with a new thing\nYoung nigga came through on his Wu-Tang\nAnd nowadays when I ask about who got it\nThey say it\'s yours, nobody else\'s\nYeah, this shit belong to nobody\nIt\'s yours, nobody else\'s\nYeah, this shit belong to nobody\nIt\'s yours, it\'s yours, it\'s yours, it\'s yours\nThat\'s for sure, that\'s for sure (Yeah)\nIt\'s yours, it\'s yours, it\'s yours, it\'s yours\nThat\'s for sure, that\'s for sure\n\n[Outro]\nHow you feel about?\n(It\'s yours, it\'s yours)\n\n[Produced by Noah ""40"" Shebib]'}"
Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4,Calm,"{'title': 'Coldplay – Fix You Lyrics', 'lyrics': ""[Verse 1: Chris Martin]\nWhen you try your best, but you don't succeed\nWhen you get what you want, but not what you need\nWhen you feel so tired, but you can't sleep\nStuck in reverse\nAnd the tears come streaming down your face\nWhen you lose something you can't replace\nWhen you love someone, but it goes to waste\nCould it be worse?\n\n[Chorus: Chris Martin, Chris Martin & Will Champion]\nLights will guide you home\nAnd ignite your bones\nAnd I will try to fix you\n\n[Verse 2: Chris Martin]\nAnd high up above or down below\nWhen you're too in love to let it go\nBut if you never try, you'll never know\nJust what you're worth\n\n[Chorus: Chris Martin & Will Champion]\nLights will guide you home\nAnd ignite your bones\nAnd I will try to fix you\n\n[Instrumental Bridge]\n\n[Breakdown: Chris Martin, Jonny Buckland, Guy Berryman & Will Champion]\nTears stream down your face\nWhen you lose something you cannot replace\nTears stream down your face, and I\nTears stream down your face\nI promise you I will learn from my mistakes\nTears stream down your face, and I\n\n[Chorus: Chris Martin]\nLights will guide you home\nAnd ignite your bones\nAnd I will try to fix you""}"
Sleeping At Last,Atlas: I,North,7HQCXYyaBmhugyRDvy4V7m,0.367,0.139,7,-12.903,0.0465,0.866,0.0,0.111,0.323,85.695,259376,4,Calm,"{'title': 'Sleeping At Last – North Lyrics', 'lyrics': '[Verse 1]\nWe will call this place our home\nThe dirt in which our roots may grow\nThough the storms will push and pull\nWe will call this place our home\n\n[Verse 2]\nWe’ll tell our stories on these walls\nEvery year, measure how tall\nAnd just like a work of art\nWe’ll tell our stories on these walls\n\n[Chorus]\nLet the years we’re here be kind, be kind\nLet our hearts, like doors, open wide, open wide\nSettle our bones like wood over time, over time\nGive us bread, give us salt, give us wine\n\n[Verse 3]\nA little broken, a little new\nWe are the impact and the glue\nCapable of more than we know\nWe call this fixer upper home\n\n[Verse 4]\nWith each year, our color fades\nSlowly, our paint chips away\nBut we will find the strength\nAnd the nerve it takes\nTo repaint and repaint and repaint every day\n[Chorus]\nLet the years we’re here be kind, be kind\nLet our hearts, like doors, open wide, open wide\nSettle our bones like wood over time, over time\nGive us bread, give us salt, give us wine\nLet the years we’re here be kind, be kind\nLet our hearts, like doors, open wide, open wide\nSettle our bones like wood over time, over time\nGive us bread, give us salt, give us wine\nGive us bread, give us salt, give us wine\n\n[Verse 5]\nSmaller than dust on this map\nLies the greatest thing we have:\nThe dirt in which our roots may grow\nAnd the right to call it home'}"
5 Seconds of Summer,5 Seconds Of Summer,Amnesia,1JCCdiru7fhstOIF4N7WJC,0.572,0.499,2,-5.237,0.0311,0.0283,0.0,0.213,0.108,101.593,237248,4,Calm,"{'title': '5 Seconds of Summer – Amnesia Lyrics', 'lyrics': ""[Verse 1: Calum]\nI drove by all the places we used to hang out getting wasted\nI thought about our last kiss, how it felt, the way you tasted\nAnd even though your friends tell me you're doing fine\nAre you somewhere feeling lonely even though he's right beside you?\nWhen he says those words that hurt you, do you read the ones I wrote you?\n\n[Pre-Chorus: Calum]\nSometimes I start to wonder, was it just a lie?\nIf what we had was real, how could you be fine?\n'Cause I'm not fine at all\n\n[Chorus: All & Luke]\nI remember the day you told me you were leaving\nI remember the make-up running down your face\nAnd the dreams you left behind, you didn't need them\nLike every single wish we ever made\nI wish that I could wake up with amnesia\nAnd forget about the stupid little things\nLike the way it felt to fall asleep next to you\nAnd the memories I never can escape\n'Cause I'm not fine at all\n\n[Verse 2: Calum]\nThe pictures that you sent me, they're still living in my phone\nI'll admit, I like to see them, I'll admit, I feel alone\nAnd all my friends keep asking why I'm not around\nIt hurts to know you're happy, yeah, it hurts that you moved on\nIt’s hard to hear your name when I haven't seen you in so long\n[Pre-Chorus: Calum]\nIt's like we never happened, was it just a lie?\nIf what we had was real, how could you be fine?\n'Cause I'm not fine at all\n\n[Chorus: All & Luke]\nI remember the day you told me you were leaving\nI remember the make-up running down your face\nAnd the dreams you left behind you didn't need them\nLike every single wish we ever made\nI wish that I could wake up with amnesia\nAnd forget about the stupid little things\nLike the way it felt to fall asleep next to you\nAnd the memories I never can escape\n\n[Bridge: Luke]\nIf today I woke up with you right beside me\nLike all of this was just some twisted dream\nI'd hold you closer than I ever did before\nAnd you'd never slip away\nAnd you'd never hear me say\n\n[Chorus: All]\nI remember the day you told me you were leaving\nI remember the make-up running down your face\nAnd the dreams you left behind you didn't need them\nLike every single wish we ever made\nI wish that I could wake up with amnesia\nAnd forget about the stupid little things\nLike the way it felt to fall asleep next to you\nAnd the memories I never can escape\n[Outro: Luke]\n'Cause I'm not fine at all\nNo, I'm really not fine at all\nTell me this is just a dream\n'Cause I'm really not fine at all""}"
Passenger,All the Little Lights,Let Her Go,6GmUVqe73u5YRfUUynZK6I,0.479,0.545,7,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,4,Calm,"{'title': 'Passenger – Let Her Go Lyrics', 'lyrics': ""[Produced by Mike Rosenberg and Chris Vallejo]\n[Video by Dave Jensen and Tavic]\n\n[Hook]\nWell you only need the light when it's burning low\nOnly miss the sun when it starts to snow\nOnly know you love her when you let her go\nOnly know you've been high when you're feeling low\nOnly hate the road when you're missing home\nOnly know you love her when you let her go\nAnd you let her go...\n\n[Verse 1]\nStaring at the bottom of your glass\nHoping one day you'll make a dream last\nBut dreams come slow and they go so fast\nYou see her when you close your eyes\nMaybe one day you'll understand why\nEverything you touch surely dies\n\n[Hook]\nBut you only need the light when it's burning low\nOnly miss the sun when it starts to snow\nOnly know you love her when you let her go\nOnly know you've been high when you're feeling low\nOnly hate the road when you're missing home\nOnly know you love her when you let her go\n[Verse 2]\nStaring at the ceiling in the dark\nSame old empty feeling in your heart\n'Cause love comes slow and it goes so fast\nWell you see her when you fall asleep\nBut never to touch and never to keep\n'Cause you loved her too much and you dived too deep\n\n[Hook]\nWell you only need the light when it's burning low\nOnly miss the sun when it starts to snow\nOnly know you love her when you let her go\nOnly know you've been high when you're feeling low\nOnly hate the road when you're missing home\nOnly know you love her when you let her go\nAnd you let her go...\n\n[Bridge]\nOh, oh, woah, oh, oh\nAnd you let her go\nOh, oh, woah, oh, oh\nWhen you let her go\nWhoa\n\n[Hook]\n'Cause you only need the light when it's burning low\nOnly miss the sun when it starts to snow\nOnly know you love her when you let her go\nOnly know you've been high when you're feeling low\nOnly hate the road when you're missing home\nOnly know you love her when you let her go\n'Cause you only need the light when it's burning low\nOnly miss the sun when it starts to snow\nOnly know you love her when you let her go\nOnly know you've been high when you're feeling low\nOnly hate the road when you're missing home\nOnly know you love her when you let her go\nAnd you let her go...""}"
WILLOW,ARDIPITHECUS,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4,Calm,"{'title': 'WILLOW – Wait a Minute! Lyrics', 'lyrics': '[Verse 1]\nWait a minute\nI think I left my conscience on your front doorstep, oh oh\nWait a minute\nI think I left my consciousness in the sixth dimension\nBut I\'m here right now, right now\n(Right now, right now)\nJust sitting in a cloud, oh wow\nI\'m here right now, right now with you, oh wow, oh wow\n(Right now, with you)\nI don\'t even care\nI’ll run my hands through your hair\nYou wanna run your fingers through mine\nBut my dreads too thick and that\'s alright\n\n[Chorus]\nHold on, wait a minute\nFeel my heart\'s intention, oh\nHold on, wait a minute\nI left my consciousness in the sixth dimension\nLeft my soul in his vision\nLet\'s go get it, oh, oh\nLet\'s go get it, oh, oh\n\n[Verse 2]\nSome tings don\'t work\nSome tings are bound to be\nSome tings, they hurt\nAnd they tear apart me\nYou left your diary at my house\nAnd I read those pages, do you really love me, baby\nSome tings don\'t work\nSome tings are bound to be\nSome tings, they hurt\nAnd they tear apart me\nBut I broke my word, and you were bound to see\nAnd I cried at the curb\nWhen you first said ""Oel ngati kameie""\n\n[Chorus]\nHold on, wait a minute (Oh)\nFeel my heart\'s intention\nHold on, wait a minute\nI left my consciousness in the sixth dimension\nLeft my soul in his vision\nLet\'s go get it, oh, oh\nLet\'s go get it, oh, oh\n\n[Bridge]\nSome people like to live\nSome just tryin\' to get by\nSome people I like that hurt\nSome just rather say goodbye, bye\n\n[Chorus]\nHold on, wait a minute\nFeel my heart\'s intention\nHold on, wait a minute\nI left my consciousness in the sixth dimension\nLeft my soul in his vision\nLet\'s go get it, ah, ah\nLet\'s go get it, ah, ah\n(Ahh, ooh)\n(Ahh, ooh)\n(Ahh, ooh)'}"
