uri,track,duration_ms,album,artist,played_at,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
spotify:track:0P09OJ55rSpuG0TcV7NUOR,1953,219905,Places,The National Parks,2021-11-05T17:27:56.458Z,0.425,0.23,4,-10.844,0.0355,0.757,3.84e-06,0.334,0.223,118.826,"

[Verse 1]
I found you in the summer heat, of 1953
Wise words from your father said
""I know that boy's your brother's friend
But I don't think he keeps comin' round for him""
Again and again and again

[Verse 2]
I had to swim away
Semper Fi, but I'll be back someday
I'll take you by the hand and say
""Be mine, be mine, be mine""

[Chorus]
And if someday, you grow tired and your memory fades
It's alright, I will never leave your side
And oh when it's time, you can come find me
In 1953

[Verse 3]
Leave New York and see the countryside
Little city and a bigger life
Watch it grow into a thousand eyes
It's ours, it's ours, it's ours
Oh it's ours, it's ours, it's ours

[Chorus]
And if someday, you grow tired and your memory fades
It's alright, I will never leave your side
And oh when it's time, you can come find me
In 1953

[Dialogue]
""And he was my brother's friend, years later my father said
You know, I think he's comin' to see you""

[Bridge]
It's written in the gold ring

[Dialogue]
""That could be true""
""It is true""

[Bridge cont]
Passed down the light
Hangin' in the branches

[Dialogue]
""We landed on the right path I really feel""

[Bridge cont]
You see it in their eyes
Pressed in the concrete

[Dialogue]
""But it was a good life, I'm very happy""

[Bridge cont]
Where we used to reside
It's larger than life

[Chorus]
And if someday, you grow tired and your memory fades
It's alright, I will never leave your side
And oh when it's time, you can come find me
In 1953

"
spotify:track:7bZP1hWx4jVnRUr0FgZ4nR,Roadtripsong,221142,Roadtripsong,Abby Cates,2021-11-05T17:24:19.503Z,0.529,0.0759,2,-17.689,0.0331,0.656,0.0,0.156,0.353,139.683,
spotify:track:3xfgaFFYLZtgDdzW7UlWwW,Underground,186403,audio:cinema,Cody Fry,2021-11-05T17:20:42.480Z,0.631,0.251,5,-10.835,0.033,0.842,0.0461,0.192,0.371,130.048,
spotify:track:3zBCnR97ZgU7oIwCjICOb1,Songbirds,230104,Quiet at the End of the Day,Ben Thornewill,2021-11-05T17:17:39.603Z,0.494,0.408,1,-9.007,0.0323,0.909,0.00181,0.157,0.249,80.999,
spotify:track:4vhTLCwdhI4GDw3cyohm0u,Like A Circle,188706,War In Your Arms,Ben Abraham,2021-11-05T17:11:36.504Z,0.446,0.111,4,-10.269,0.0371,0.938,0.0,0.0686,0.259,90.666,
spotify:track:3iJya7m7trpGv570Ske30n,I Hear a Symphony,185176,Flying,Cody Fry,2021-11-05T17:07:31.537Z,0.207,0.243,10,-8.181,0.0306,0.925,0.0342,0.118,0.394,171.648,
spotify:track:28g4onUQqilACUFgRkHg6r,Lovely,126706,For Our Children,The Brilliance,2021-11-05T17:04:29.352Z,0.411,0.19,3,-15.347,0.0392,0.866,0.312,0.108,0.306,123.21,
spotify:track:54DyAg16LVrEZflunc6UDY,Home,207836,The Sad Vegan,Catie Turner,2021-11-05T17:02:26.439Z,0.361,0.177,11,-12.023,0.0346,0.927,0.0,0.0911,0.32,113.36,
spotify:track:2CK9xYMVdmJMPKZyArVbt4,To the Mountains,193800,Give Me A Minute,Lizzy McAlpine,2021-11-05T16:58:22.595Z,0.461,0.147,4,-14.022,0.033,0.918,0.000638,0.0846,0.267,78.809,
spotify:track:5uW3cgCybmRbd27rUuugvL,I Want You,253866,Everything That Makes You Happy,Blaenavon,2021-11-05T16:29:19.355Z,0.557,0.765,5,-6.797,0.0323,0.00899,0.013,0.124,0.486,133.007,
